Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
POWERGRID,0.3369900792446767,0.68632588385238,0.8570987897546354,1.0,0.1152806779345108,0.0,0.22857191345072403,0.581457474844629,0.81130079906777,1.0,0.07117163698264639,0.0,48.72521246458923,46.74220963172804,48.937677053824366,47.379603399433435,48.86685552407932,49.85835694050991,Gradient Boosting
RELIANCE,0.58563148959107,0.549620152467183,0.6550552459670144,1.0,0.0,0.004601013517229802,0.9183807623986926,0.4025599981304077,0.6257792692672748,1.0,0.0,0.01117207684548105,49.57507082152974,50.35410764872521,47.875354107648725,49.57507082152974,48.44192634560906,47.59206798866855,Random Forest
SBIN,0.8660211279721823,0.8081389510610975,1.0,0.9915387023837414,0.05601205905937323,0.0,0.7551982292383593,0.6122361285900441,1.0,0.8700286219802055,0.03065346616905787,0.0,49.57507082152974,50.56657223796034,51.345609065155806,50.42492917847026,50.70821529745042,50.0,Random Forest
SUNPHARMA,0.3837658073755854,0.5066399267176604,1.0,0.7441984962408466,0.07886036005873653,0.0,0.3468361865846352,0.39203176462385425,1.0,0.6958761335929903,0.04937741502052739,0.0,46.95467422096318,50.42492917847026,51.13314447592068,50.991501416430594,48.08781869688386,49.008498583569406,Gradient Boosting
TATAMOTORS,0.3915913515313903,0.5668681148923655,0.840413129565035,1.0,0.0,0.006748479198509627,0.2677956963218906,0.4175683569147577,0.9999999999999999,0.9412125988737104,0.0,0.010402693283001863,47.80453257790368,51.27478753541076,52.19546742209632,51.55807365439094,50.42492917847026,49.92917847025495,Random Forest
TATASTEEL,0.7598143727574848,0.5490961567615941,1.0,0.9880130407715922,0.08003611402022048,0.0,0.6641529742716618,0.3895824006155292,1.0000000000000002,0.9227286171651123,0.03975425135008953,0.0,49.787535410764875,50.77903682719547,48.86685552407932,48.72521246458923,51.41643059490085,50.991501416430594,Random Forest
TCS,1.0,0.48845177664822204,0.5949342146477191,0.6641063039696654,0.04947249814707455,0.0,1.0,0.408619926957525,0.5707978359446134,0.6194195335871596,0.0328170685676383,0.0,50.849858356940516,51.84135977337111,50.42492917847026,51.41643059490085,51.13314447592068,50.35410764872521,Random Forest
TECHM,0.21293948214603764,0.5598546704398714,0.7385465771359899,1.0,0.14365933388272678,0.0,0.15400806756802737,0.45574852045408226,0.7178411001619442,1.0,0.14379793770105498,0.0,49.85835694050991,52.97450424929179,49.85835694050991,54.107648725212464,50.28328611898017,49.64589235127479,Gradient Boosting
TITAN,0.3826511614217853,0.7360512401080113,0.9961878170428144,1.0,0.0578512948320552,0.0,0.26655512644112045,0.6062755949712492,0.931883768680978,1.0,0.03242432161393152,0.0,49.787535410764875,50.42492917847026,49.85835694050991,50.991501416430594,50.56657223796034,50.63739376770538,Gradient Boosting
ULTRACEMCO,0.8527280148452445,0.6542219012215784,1.0,0.9075038281616112,0.013943382238139734,0.0,0.7437523981730461,0.5289066460225115,1.0,0.8115055338463457,0.006216303791440225,0.0,46.813031161473084,50.42492917847026,53.328611898016995,49.008498583569406,49.362606232294624,49.716713881019835,Gradient Boosting
UPL,0.29066756731989274,0.35994192453268936,1.0,0.39212870297089275,0.05442602186872059,0.0,0.2318468125100157,0.27015423287829965,1.0,0.31418778119348967,0.04979314126591189,0.0,49.150141643059484,51.77053824362606,48.44192634560906,50.212464589235125,46.10481586402266,47.167138810198296,SVR-Linear
VEDL,0.3738341320062919,0.4557349350401114,1.0,0.6901277728994939,0.07560392689686135,0.0,0.31472728327813987,0.366221123068413,1.0,0.6133734100715824,0.04906849936704105,0.0,47.875354107648725,49.85835694050991,50.212464589235125,48.86685552407932,46.88385269121813,48.79603399433427,Gradient Boosting
WIPRO,0.09773675096483458,0.3509336360673875,1.0,0.5023709248845748,0.059086689407716,0.0,0.0,0.2113223694754005,1.0,0.4078429720075615,0.08898043210835449,0.04697318326166244,50.14164305949008,48.79603399433427,50.56657223796034,49.008498583569406,47.80453257790368,47.875354107648725,LSTM
YESBANK,0.41294898051817036,0.4991537428410077,1.0,0.6274627461546449,0.026462681167084057,0.0,0.2910706393192196,0.38359384485735576,1.0,0.5549081652107324,0.012312025320468434,0.0,51.345609065155806,50.212464589235125,51.41643059490085,51.41643059490085,50.0,49.64589235127479,LSTM
ZEEL,0.5060184713889052,0.5692367217370482,0.80858591393885,1.0,0.08184858782126303,0.0,0.556583075861566,0.44908858817633457,0.9150057930492341,1.0000000000000002,0.05177693895371058,0.0,49.92917847025495,49.22096317280453,51.55807365439094,48.22946175637394,49.92917847025495,49.64589235127479,Gradient Boosting
